"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P2,P1";"CSK_Header";2;"CONN_02X26";;;
2;"L1";"SDR0403";1;"2.7uH";;;
3;"Rt1";"R_0402_1005Metric";1;"140k";;;
4;"Rilim1";"R_0402_1005Metric";1;"86.6k";;;
5;"Rgate1";"R_0201_0603Metric";1;"162k";;;
6;"Rfbt1";"R_0402_1005Metric";1;"453k";;;
7;"Rfbb1";"R_0201_0603Metric";1;"86.6k";;;
8;"Rcomp1";"R_0201_0603Metric";1;"12.1k";;;
9;"Cvcc1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.7uf";;;
10;"Coutx1,Cout4,Cout3,Cout2,Cout1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";5;"10u";;;
11;"CIN3,CIN2,CIN1";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";3;"10uF";;;
12;"Cgate1";"C_0402_1005Metric";1;"22n";;;
13;"Ccomp1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"3.3nf";;;
14;"Cboot1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100nF";;;
15;"REF**,REF**,REF**,REF**";"Hole_0.125-0.250";4;"Hole_0.125-0.250";;;
16;"U1";"RNW0013A";1;"TPS611781RNWR";;;
17;"Q1";"Si6423DQ";1;"Q_PMOS_DGS";;;
